year,president,vicePresident,sp500,gainTo,gallonOfMilk,loafOfBread,gallonOfGas,newHome,newCar,wages,baseball,superbowl,popularGirl,popularBoy,popularMovie,popularActor,popularActress,populartvShow,timePerson,chineseYear,hipHopMusic,popMusic,actors_image,actresses_image,movies_image,presidents_image,vice_presidents_image,time_persons_image,cars_image,gas_image,bread_image,milk_image
1916,Woodrow Wilson,Thomas R. Marshall,9.33,27576%,$0.09 ,$0.06 ,$0.15 ,"$3,200 ","The Cabriolet at Detroit $1,675",$687 ,Boston Red Sox,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Boston Red Sox,N/A,Dragon,N/A,Stars and Stripes Forever by John Phillip Sousa,/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1916.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1917,Woodrow Wilson,Thomas R. Marshall,9.57,26882%,$0.12 ,$0.06 ,$0.25 ,"$3,200 ",Allen $795,$748 ,Chicago White Sox,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Chicago White Sox,N/A,Snake,N/A,"""Over There"" by Enrico Caruso",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1917.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1918,Woodrow Wilson,Thomas R. Marshall,7.21,35713%,$0.15 ,$0.08 ,$0.25 ,"$3,200 ","Chander Six; seven-passenger touring car $1,395",$972 ,Boston Red Sox,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Boston Red Sox,N/A,Horse,N/A,"""Tiger Rag/Skeleton Jangle"" by the Original Dixieland Jass Band",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1918.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1919,Woodrow Wilson,Thomas R. Marshall,7.85,32794%,$0.16 ,$0.08 ,$0.25 ,"$3,200 ","Studebaker Convertible Sedan $1,700","$1,117 ",Cincinnati Reds,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Cincinnati Reds,N/A,Goat,N/A,"""After You've Gone"" by Marrion Harris",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1919.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1920,Woodrow Wilson,Thomas R. Marshall,8.83,29143%,$0.17 ,$0.12 ,$0.30 ,"$3,200 ","Kline Car Coupe $3,090","$1,236 ",Cleveland Indians,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,Cleveland Indians,N/A,Monkey,N/A,"Paul Whiteman, ""Whispering""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/28_Woodrow_Wilson.jpg,/images/vice_presidents/Thomas_Riley_Marshall_headshot.jpg,/images/time_persons/default.png,/images/cars/1920.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1921,Warren G. Harding,Calvin Coolidge,7.11,36217%,$0.15 ,$0.10 ,$0.26 ,"$3,200 ","Willys-Knight coupe-sedan $1,450","$1,009 ",New York Giants,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,New York Giants,N/A,Rooster,N/A,"Al Jolson, ""April Showers""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/29_William_H_Harding.jpg,"/images/vice_presidents/Calvin_Coolidge,_bw_head_and_shoulders_photo_portrait_seated,_1919.jpg",/images/time_persons/default.png,/images/cars/1921.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1922,Warren G. Harding,Calvin Coolidge,7.3,35272%,$0.15 ,$0.10 ,$0.25 ,"$3,200 ","Hendley Knight $2,450","$1,067 ",New York Giants,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,New York Giants,N/A,Dog,N/A,"Paul Whiteman, ""Three O'Clock in the Morning""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/29_William_H_Harding.jpg,"/images/vice_presidents/Calvin_Coolidge,_bw_head_and_shoulders_photo_portrait_seated,_1919.jpg",/images/time_persons/default.png,/images/cars/1922.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1923,Calvin Coolidge,nobody (Position Vacant),8.9,28913%,$0.15 ,$0.10 ,$0.22 ,"$3,200 ","Haynes 60 DeLuxe Sedan $1,895","$1,231 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,John,N/A,N/A,N/A,New York Yankees,N/A,Pig,N/A,"W.C. Handy and His Orchestra, ""St, Louis Blues""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/default_image.png,/images/time_persons/default.png,/images/cars/1923.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1924,Calvin Coolidge,nobody (Position Vacant),8.83,29143%,$0.14 ,$0.10 ,$0.21 ,"$3,200 ","Chrysler Six Phaeton $1,395","$1,196 ",Washington Senators,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,Washington Senators,N/A,Rat,N/A,"George Gershwin, ""Rhapsody in Blue""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/default_image.png,/images/time_persons/default.png,/images/cars/1924.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1925,Calvin Coolidge,Charles G. Dawes,10.58,24306%,$0.15 ,$0.10 ,$0.22 ,"$3,200 ","Hudson Coach $1,250","$1,253 ",Pittsburgh Pirates,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,Pittsburgh Pirates,N/A,Ox,N/A,"Isham Jones, ""It Had to Be You""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/Chas_G_Dawes-H_E.jpg,/images/time_persons/default.png,/images/cars/1925.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1926,Calvin Coolidge,Charles G. Dawes,12.65,20312%,$0.15 ,$0.10 ,$0.23 ,"$3,200 ","Peerless Sedan $2,100","$1,310 ",St Louis Cardinals,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,St Louis Cardinals,N/A,Tiger,N/A,"Vincent Lopez, ""Always""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/default.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/Chas_G_Dawes-H_E.jpg,/images/time_persons/default.png,/images/cars/1926.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1927,Calvin Coolidge,Charles G. Dawes,13.4,19170%,$0.15 ,$0.10 ,$0.21 ,"$3,200 ","Lincoln $4,600","$1,312 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,New York Yankees,Charles Lindbergh,Rabbit,N/A,"Gertrude Lawrence, ""Someone to Watch Over Me""",/images/actors/default.png,/images/actresses/default.jpg,/images/movies/1927.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/Chas_G_Dawes-H_E.jpg,"/images/time_persons/115px-Charles_Lindbergh_and_the_Spirit_of_Saint_Louis_(Crisco_restoration,_with_wings).jpg",/images/cars/1927.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
1928,Calvin Coolidge,Charles G. Dawes,17.53,14630%,$0.16 ,$0.09 ,$0.21 ,"$3,200 ","Packard Custom Eight Coupe $4,450","$1,297 ",New York Yankees,Nobody (Superbowl not started in this year),Mary,Robert,N/A,N/A,N/A,New York Yankees,Walter Chrysler,Dragon,N/A,"Marion Harris, ""The Man I Love""",/images/actors/1928.jpg,/images/actresses/1928.jpg,/images/movies/1928.jpg,/images/presidents/31_Calvin_Coolidge.jpg,/images/vice_presidents/Chas_G_Dawes-H_E.jpg,/images/time_persons/145px-Walter_P._Chrysler_at_White_House_(cropped).png,/images/cars/1928.jpg,/images/gas/gallon_of_gas.jpg,/images/bread/bread_loaf.jpg,/images/milk/quart_of_milk.jpg
